sexe;age;enfants;CSP;profession;secteur;TailleStructure;responsabilites;salaire;valeurs;DefinitionEthique;confrontation;ImportanceEthique;VisionEthique;ActionContreEthique;ExistenceCodeEthique;ExistenceMomentDebat
1;50;2;3;Formateur;2;3;0;4000;1, 4, 7, 6;1;1;7;3;1;1;2
2;46;2;5;Cobseillere emploi;2;1;0;2200;1, 7, 2, 5;1;1;8;3;2;3;1
2;51;4;3;Enseignant;1;3;2;3000;1, 5, 6, 4;2;1;9;1;1;1;1
1;51;2;3;directeur technique;2;1;3;5000;1, 6, 3, 5;1;1;10;1;2;1;1
1;47;3;3;Personnel de direction;1;3;4;4000;2, 1, 6, 5, 4, 3;1;1;9;2;2;1;1
2;47;3;3;professeur;1;3;1;2200;1, 8, 3, 2;1;1;7;1;2;2;1
2;40;3;5;Assistante de Vie Scolaire (AESH);1;3;1;600;3, 1, 2, 5;1;2;7;1;2;1;3
2;49;2;5;Aide soignante;2;3;0;1400;4, 1, 7, 8;1;1;9;1;3;1;1
2;48;1;3;Ingenieur etudes;1;1;0;NA;5, 7, 1, 3;2;2;8;1;2;1;1
2;51;2;3;pharmacienne;2;4;1;1900;1, 3, 5, 6;1;1;9;1;1;1;2
2;46;2;3;Enseignante;2;2;1;5500;1, 7, 5, 2, 4, 3;2;1;10;1;2;1;1
2;53;2;5;comptable;2;3;0;1800;5, 1, 7, 2;1;2;9;3;1;2;2
1;57;2;4;Expert comptable salarie;2;2;0;2400;2, 3, 7, 8;1;1;10;1;1;1;2
2;50;3;3;Responsable Clientele (Sales Account Manager);2;1;0;4700;7, 1, 3, 2;2;1;9;1;2;1;1
1;22;0;5;Assistant d education;1;3;0;1100;NA;1;3;7;3;3;3;3
1;29;1;6;Mecanicien ouvrier d'etat;1;2;1;1900;2, 7, 1, 6, 3, 4, 5, 8;2;1;10;2;1;1;2
1;51;3;3;ingenieur logistique;2;1;0;4500;3, 7, 8, 2;NA;1;10;1;2;1;1
1;20;0;5;Technicien SAV en protection incendie ;2;2;1;1500;3, 5, 7;2;1;5;1;1;1;2
2;52;3;3;cadre;2;2;0;5300;3, 1, 5, 4;1;3;10;1;2;1;2
1;48;3;3;Charge d'affaires bureau etude ingenierie ;2;4;1;3500;3, 2, 1, 7;2;2;4;3;2;2;2
1;61;2;2;Chef d'entreprise;1;4;0;1400;1, 5, 3, 2, 7;1;1;9;1;2;2;2
1;34;2;5;manager de rayon;2;3;1;1400;1, 7, 5, 2;NA;2;8;3;2;2;2
1;52;3;3;Pilote de ligne;2;1;1;12000;3, 5, 7, 1;1;2;10;1;2;1;1
1;34;3;5;conseiller de gestion;2;2;0;2000;1, 5, 3, 7;1;1;8;1;1;1;1
2;27;0;5;Comptable;2;2;0;1400;1, 7, 5, 2;1;NA;9;1;2;1;NA
2;31;0;3;juriste d'entreprise;2;3;1;1500;3, 1, 2, 7;2;1;7;2;1;1;NA
2;25;0;4;sage-femme;1;2;1;1800;1, 3, 8, 4;1;1;8;1;2;1;1
1;26;0;5;Dessinateur industriel en chaudronnerie ;2;3;0;1900;1, 7, 4, 5;1;2;9;2;3;3;2
2;28;0;4;Preparateur en pharmacie hospitaliere;1;1;0;1600;1, 4, 3, 2, 7, 5, 6, 8;1;2;10;3;2;1;1
1;25;0;3;Charge d'etudes economiques;1;3;0;1400;7, 3, 5, 1;1;2;9;2;2;1;1
2;43;3;5;agent territorial;1;3;0;1200;1, 5, 4, 8;1;1;8;1;2;1;2
1;51;2;4;Projeteur en electricite;2;NA;0;3000;5, 7, 3, 1;1;1;7;3;1;1;2
2;50;4;4;NA;2;3;0;1300;3, 7, 5, 1;2;1;9;2;2;1;1
1;69;1;7;chef comptable ;2;NA;NA;NA;3;2;2;8;1;2;1;1
1;49;3;3;ingenieur;2;1;0;3800;1, 7, 5, 4;1;1;6;1;2;1;1
1;30;0;3;Architecte;1;3;1;2300;1, 7, 5, 3, 2, 4, 6, 8;1;1;8;2;1;1;1
1;45;3;3;UX Designer;2;2;0;3300;1, 5, 8, 6;2;1;9;2;1;2;1
2;48;3;3;Maitre de conferences;1;1;NA;3200;1, 5, 4;1;1;8;NA;2;1;1
2;46;3;3;Enseignant;1;1;2;2300;1, 3, 7, 4;1;1;8;2;1;3;2
1;26;0;3;Ingenieur ;2;3;0;NA;7, 1, 5, 4;1;3;6;3;2;3;1
2;49;2;3;Cadre de banque ;2;2;4;4000;7, 3, 1, 2;1;1;8;1;2;1;1
1;46;3;4;infirmier liberal ;2;4;0;6000;3, 8, 7, 5;2;1;6;1;1;2;2
2;50;2;5;Hotesse de caisse;2;2;0;1000;5, 1, 3, 7;1;3;7;2;2;1;1
2;23;0;4;Professeur;1;3;0;1500;1, 7, 3, 5;2;1;10;1;2;1;3
1;58;2;5;Agent de maitrise;2;2;1;2600;1, 3, 4, 5, 7;1;1;4;1;2;1;1
2;31;0;5;Conseiller emploi;2;3;0;1400;7, 1, 2, 5;2;1;8;2;1;2;2
2;43;1;3;Responsable administratif financier et rh;2;3;0;2000;2, 1, 5, 3;2;1;10;2;2;2;1
1;21;0;5;Charge de relations utilisateurs;2;3;0;NA;1, 5, 7, 6;1;1;9;2;2;3;2
1;21;0;5;Monteur Video, Motion-Designer;2;3;NA;2000;1, 2, 4, 3;NA;2;8;NA;2;1;1
1;53;2;3;Enseignant;1;1;4;2500;1, 2, 7, 5;1;1;9;1;2;1;1
2;54;2;4;Assistante de direction;1;2;0;2100;1, 5, 7, 2, 8;1;1;9;2;3;2;2
2;62;2;7;Professeur des ecoles specialisee  ;2;3;2;1900;3, 4, 1, 5;1;1;10;1;2;2;1
2;35;2;NA;Agent de voyage;2;4;0;1700;1, 5, 7;1;1;8;1;1;3;2
1;52;4;3;enseignant;1;3;4;6100;3, 7, 1, 5;2;1;8;2;1;2;2
2;50;2;3;professeur;2;3;0;2900;7, 1, 6, 4;1;1;10;1;1;1;2
1;52;2;4;Conseiller de gestion;2;3;0;2500;1, 2, 3, 7;NA;1;8;1;2;2;2
2;31;0;3;professeur;1;3;NA;2400;1, 5, 4, 7;1;1;8;1;2;NA;1
1;52;1;4;animateur echecs;2;4;1;700;3, 5, 1, 7;2;1;8;2;2;1;1
2;56;4;3;Directeur d'association;2;1;1;3200;1, 3, 8, 2;2;1;8;1;2;1;3
2;46;3;5;adjoint en animation en milieu scolaire;1;2;NA;800;3, 1, 6, 5;1;1;9;NA;2;1;1
2;23;0;5;Manager en restauration;2;3;1;1600;1, 7, 4, 5, 3;1;3;7;1;2;3;2
1;54;3;4;NA;2;3;1;2000;5, 1, 6, 8, 7, 4, 3;2;1;9;2;1;2;2
2;50;4;5;Receptionniste;2;3;0;900;1, 7, 5, 2, 6;2;1;10;1;2;2;2
2;60;1;7;Assistante RH territoriale ;2;3;3;2400;1, 7, 2, 6;1;NA;8;3;2;2;2
2;24;0;5;Responsable adjointe de site ;NA;3;1;1300;1, 5, 7, 6;2;3;7;2;2;2;2
2;66;2;7;Retraite;1;4;0;800;1, 2, 6, 7;1;1;10;2;1;2;2
2;47;1;5;serveuse;2;1;1;3500;3, 1, 5, 7;1;1;7;3;2;1;3
1;34;0;2;restaurateur;2;4;1;2000;5, 3, 1;2;3;9;1;2;2;1
1;37;2;5;NA;2;4;0;2400;3, 2, 5, 1;1;2;7;3;2;2;1
1;35;2;3;Enseignant;1;1;0;1800;1, 2, 5;1;1;9;2;1;1;2
2;23;0;8;Stagiaire (chargee de communication);2;2;0;400;1, 2, 4, 5;2;2;8;1;2;2;2
2;25;0;3;Ingenieure en gestion de projet;2;1;4;2200;8, 1, 7, 5;2;1;8;1;1;3;3
2;22;0;5;Chargee de communication;2;4;1;600;2, 1, 4, 5, 3, 6, 7, 8;2;1;9;1;2;1;1
2;23;0;5;Chargee de communication;1;3;0;900;NA;2;3;7;1;1;1;1
2;24;0;3;Controleur de gestion;2;1;0;2600;1, 6, 5, 4, 7;2;1;8;2;2;1;3
1;43;3;3;Ingenieur cadre sup;2;1;0;3700;3, 1, 5, 7, 8, 6, 4, 2;2;1;8;1;2;1;3
2;19;0;5;Animation;1;3;0;1000;1, 7, 4, 3;1;2;8;1;2;1;1
2;43;1;5;Intermittent du spectacle;3;4;0;2000;1, 7, 4, 3;1;1;10;1;2;2;1
1;60;3;7;Retraite du ministere de la defense.;1;1;1;2800;2, 1, 6, 7;1;1;9;1;1;1;1
2;21;0;5;manageur en restauration;2;2;1;1400;1, 3, 4, 7, 5;2;3;7;2;2;1;2
1;32;0;6;Operateur sur commande numerique;3;3;0;1800;7, 1, 4, 5;NA;3;6;1;2;3;3
2;24;0;5;Infirmier;2;3;1;1900;2, 7, 1, 4;2;1;10;1;1;3;2
2;20;0;5;Conseille services accueil en banque ;1;4;0;1100;1, 7, 3, 4;1;2;8;1;2;3;1
1;36;0;2;Directeur artistique ;2;3;1;1900;2, 7, 5, 1;2;1;8;1;1;1;2
2;24;0;5;Comptable ;2;3;0;1300;6, 1, 5, 7;1;2;5;2;3;1;1
2;28;0;1;chevrier;2;3;1;1400;5, 4, 7, 1;2;2;9;1;2;1;2
1;21;0;6;Boulanger;2;4;0;800;7, 5, 4, 1, 2, 6, 3, 8;2;1;10;1;2;2;2
2;21;0;5;Crepiere ;2;4;0;1100;1, 7, 2, 3, 5, 4;2;2;10;1;1;3;2
2;54;2;3;professeur;1;1;NA;3000;3, 1, 5, 4;2;1;8;1;2;1;1
1;60;2;3;cadre bancaire ;2;1;1;3000;3, 2, 5, 7, 4, 1, 6, 8;1;1;9;1;2;1;1
1;18;0;6;agent de quai;3;2;0;1700;1, 7, 8, 5;NA;1;9;2;1;1;1
2;55;2;5;auxiliaire de vie sociale;2;3;0;1100;1, 5, 7, 4, 3;2;2;10;1;2;1;1
2;21;0;5;Opticien Lunetier ;1;3;0;1000;7, 2, 1, 5;1;3;9;2;2;1;1
1;52;2;3;cadre commercial;2;3;1;3100;1, 3, 5, 7;1;1;9;1;1;1;2
2;51;2;3;Enseignante;1;1;0;1500;1, 7, 4, 8;2;1;8;2;3;3;1
2;50;1;4;Clerc de notaire;2;3;0;2400;5, 1, 4, 7;1;2;3;2;2;1;2
1;54;1;3;Directeur de departement;2;2;4;8000;7;1;1;9;1;1;1;2
1;48;2;6;technicien de maintenance;2;2;0;1900;3, 1, 7, 5;1;3;8;1;2;1;2
2;35;0;2;profession liberale non salariee ;1;4;1;1300;3, 5, 7, 6;1;1;10;2;1;1;1
1;56;2;4;technicien de laboratoire hospitalier;1;2;0;2600;3, 1, 5, 7;1;1;9;1;2;1;1
2;50;3;2;Praticienne en Massages;NA;NA;0;800;1, 5, 8, 7;2;3;7;1;1;NA;NA
2;40;0;5;NA;2;2;0;NA;NA;1;1;9;2;1;1;2
1;32;0;3;Responsable maintenance;2;2;2;2000;3, 5, 1, 7;2;3;8;1;2;1;2
2;46;2;3;docteur;1;2;1;4300;7, 1, 5, 3, 2;1;1;10;1;2;1;1
1;67;3;3;Avocat;2;3;1;12000;4, 2, 5, 1;2;1;10;1;2;1;1
1;34;2;6;Ouvrier;2;3;0;1500;1, 6, 2, 7;1;1;6;NA;3;1;3
1;34;2;6;Ouvrier;2;3;0;1500;1, 2, 6, 7;1;1;6;NA;3;1;3
2;20;0;5;NA;2;4;0;1300;2, 1, 6, 8;1;1;8;2;1;1;2
1;53;2;3;responsable d'equipe;1;1;3;2400;1, 7, 5, 3;2;3;8;3;2;1;2
1;27;0;5;technicien automobile ;2;3;0;1300;1, 7, 5, 3;1;1;8;2;1;1;1
2;34;1;5;comptable;1;4;1;1700;1, 4, 2, 7, 6, 5, 8, 3;1;1;8;1;1;2;2
2;50;2;2;creatrice textile;2;4;1;1800;2, 3, 4, 5, 7;2;3;10;1;2;2;2
2;39;0;5;Technicienne telecom;2;1;0;1500;5, 3, 7, 1;1;1;9;1;2;1;3
1;19;0;5;Equipier polyvalent;2;2;0;900;5, 6, 2, 7, 1, 4;1;1;7;2;1;3;2
2;20;0;5;Employee de bureau;1;1;0;1600;6, 3, 1, 4;1;1;9;1;2;1;2
2;47;2;3;Cadre;2;1;4;6000;3, 2, 5, 6;1;1;7;1;2;2;2
2;39;2;4;Agent de maitrise ;2;3;2;1500;1, 7, 3, 5, 8;1;1;8;1;2;3;2
1;52;2;4;Techicien support innovation;2;3;0;3500;3, 6, 1, 4;2;1;8;2;1;1;2
2;22;0;5;Magasiniere/vendeuse ;2;3;0;1100;1, 7, 3, 4;1;3;10;1;2;1;1
1;24;0;4;Fonctionnaire ;1;2;1;1600;3, 5, 7, 1;2;1;8;3;2;1;2
1;54;3;1;NA;2;4;0;700;3, 6, 8, 7;2;2;10;NA;2;NA;NA
1;23;0;5;Magasinier;2;3;0;500;6, 1, 2, 7, 4, 8, 5, 3;1;2;5;3;1;3;1
1;24;0;5;Developpeur Web;2;3;0;1900;3, 6, 1, 7;1;2;5;1;NA;2;2
1;38;0;5;Conseiller technique sportif;2;4;0;1700;2, 5, 6, 3, 1, 7, 4, 8;2;1;10;1;2;2;1
1;52;2;4;Techicien support innovation;2;3;0;3500;1, 3, 4, 6;2;1;8;2;1;1;2
2;56;2;2;Notaire;2;4;1;12000;5, 2, 7, 1;2;1;10;1;2;1;1
2;49;2;3;Enseignante ;1;1;0;2700;1, 2;2;1;10;2;2;1;2
1;28;0;3;Ingenieur qualite;2;2;1;2300;1, 2, 4, 3;1;2;9;1;2;1;1
2;41;3;3;Pharmacien gerant;2;3;1;2800;1, 7, 3, 2;1;1;8;3;1;1;1
1;24;0;4;Technicien de laboratoire ;1;2;1;1500;2, 1, 3, 7;2;1;6;1;2;1;2
2;40;1;2;Designer et chef d'entreprise;2;4;1;3000;1, 5, 3, 7, 4;1;1;8;1;2;2;2
2;22;0;5;Apprentie presse et projets ;1;1;0;1000;1, 8, 7, 3;1;1;8;1;2;1;1
2;51;2;3;Secretaire Generale Adjointe ;2;4;1;3100;1, 7, 4, 3;2;1;8;1;1;2;1
1;21;0;5;Animateur BAFA en accueil de loisir;1;4;1;1400;1, 4, 5, 7, 3, 2, 6, 8;2;1;7;1;1;3;3
2;26;0;3;Cadre de coordination;1;3;2;1600;1, 7, 4, 3;2;1;10;2;1;1;1
2;25;0;5;Libraire;2;3;1;1400;1, 5, 7, 4;2;1;8;3;1;2;2
2;58;3;3;Drh;2;3;1;3100;4, 1, 6, 2;2;1;8;NA;2;1;2
2;22;0;5;Chargee de l'animation de la vie etudiante en IUT;1;3;0;NA;NA;2;1;9;1;2;1;2
2;59;3;7;medecin retraite;1;1;1;NA;5, 1, 3, 8;2;1;9;2;2;1;2
2;50;3;4;associee ds 1 startup;2;4;0;NA;1, 7, 5, 3, 2;1;3;7;1;2;1;1
2;50;1;4;Gestionnaire de stabilite (industrie pharma);2;3;0;2800;1, 7, 2, 5, 3, 4, 6, 8;2;1;10;3;2;3;2
1;48;2;5;Animateur Multimedia;1;3;0;1500;3, 7, 1, 8;1;1;7;NA;NA;1;2
2;53;3;5;technicienne de surface en entreprise;2;3;0;1000;7, 6, 2, 1;1;1;7;1;1;1;2
1;53;4;3;Chef de service recouvrement dans une entreprise;2;1;2;2800;2, 3, 5, 1, 6, 7;1;1;9;1;2;1;1
1;63;5;5;Agent de securite;1;1;1;1300;5, 3, 2, 6, 7;NA;1;5;2;NA;3;2
1;30;0;5;agent comptable;2;3;0;1300;2, 5, 1, 3;1;3;6;2;1;1;1
2;27;0;5;gestionnaire d'exploitation;1;1;1;1700;3, 6, 1, 2;2;3;6;3;3;1;1
2;24;1;5;agent commerciale;2;1;0;2000;3, 2, 6, 5, 7, 1;1;1;8;1;1;1;1
2;30;0;3;Redactrice web;1;3;0;2500;7, 1, 8, 5, 6, 3, 4, 2;1;1;8;2;3;2;2
1;51;2;4;Commercial;NA;NA;0;1700;1, 6, 7, 4, 2, 3, 5, 8;1;2;10;2;2;1;2
1;57;2;3;responsable qualite, securite et environnement dans l'industrie;2;3;0;2500;1, 4, 5, 6, 7, 2;1;1;10;3;2;3;1
1;52;2;3;Ingenieur;2;1;2;4000;3, 5, 1, 7;2;1;9;1;1;1;1
1;19;0;2;Independant ;2;4;0;400;1, 7, 3, 5, 6, 2;1;1;9;1;2;2;2
2;45;1;5;Preparatrice en pharmacie;2;3;0;1600;1, 4, 5, 7, 3, 2, 8, 6;1;1;10;NA;2;2;2
2;62;0;7;jeune retraitee du secteur touristique ;2;4;1;3400;5, 4, 3, 7, 1, 8, 6, 2;2;1;8;2;1;2;2
2;28;0;3;Animatrice de reseau ;2;3;0;2600;7, 4, 5, 1, 6;1;1;10;2;2;1;1
1;32;0;3;Pilote;2;1;1;8500;3, 7, 5, 2;1;1;10;2;2;1;1
1;44;3;5;Cheminot;1;1;NA;2200;5, 2, 6, 1, 4, 3, 8, 7;1;1;6;2;1;1;1
2;35;2;3;Architecte;2;4;NA;NA;1, 7, 5, 4, 2;1;1;9;1;1;1;2
2;50;2;2;veterinaire;2;4;1;4000;7, 4, 1, 5, 3;2;1;8;1;1;1;1
1;53;2;2;Gerance de gestion locative;1;4;1;NA;1, 5, 3, 4, 8, 7, 2, 6;2;2;6;1;2;2;1
2;52;4;2;Secretaire;2;4;0;1000;2, 5, 7, 1;1;2;10;1;2;1;1
2;47;3;3;Auteur de roman de fiction ;2;4;0;700;1, 3, 4, 5;2;1;7;3;2;2;3
